"1","事業主貸","1","0","1","-1","2020-02-07 00:00:00.000000","2020-02-07 00:00:00.000000"
"2","事業主借","2","0","2","-1","2020-02-07 00:00:00.000000","2020-02-07 00:00:00.000000"
"3","現金","3","0","3","-1","2020-02-07 00:00:00.000000","2020-02-07 00:00:00.000000"
"4","その他の預金","3","0","4","-1","2020-02-07 00:00:00.000000","2020-02-07 00:00:00.000000"
"5","未払金","3","0","5","-1","2020-02-07 00:00:00.000000","2020-02-07 00:00:00.000000"
"6","通信費","1","1","12","5","2020-02-07 00:00:00.000000","2020-02-07 00:00:00.000000"
"7","消耗品費","1","1","24","10","2020-02-07 00:00:00.000000","2020-02-07 00:00:00.000000"
"8","雑費","1","1","25","18","2020-02-07 00:00:00.000000","2020-02-07 00:00:00.000000"
"9","旅費交通費","1","1","11","4","2020-02-07 00:00:00.000000","2020-02-07 00:00:00.000000"
"10","損害保険料","1","1","15","8","2020-02-07 00:00:00.000000","2020-02-07 00:00:00.000000"
"11","荷造運賃","1","1","9","2","2020-02-07 00:00:00.000000","2020-02-07 00:00:00.000000"
"12","売上(収入)","2","0","7","-1","2020-02-07 00:00:00.000000","2020-02-07 00:00:00.000000"
"13","前払金","3","0","6","-1","2020-02-07 00:00:00.000000","2020-02-07 00:00:00.000000"
"14","外注工賃","1","1","20","14","2020-02-07 00:00:00.000000","2020-02-07 00:00:00.000000"
"15","租税公課","1","1","8","1","2020-02-07 00:00:00.000000","2020-02-07 00:00:00.000000"
"16","水道光熱費","1","1","10","3","2020-02-07 00:00:00.000000","2020-02-07 00:00:00.000000"
"17","広告宣伝費","1","1","13","6","2020-02-07 00:00:00.000000","2020-02-07 00:00:00.000000"
"18","接待交際費","1","1","14","7","2020-02-07 00:00:00.000000","2020-02-07 00:00:00.000000"
"19","修繕費","1","1","16","9","2020-02-07 00:00:00.000000","2020-02-07 00:00:00.000000"
"20","利子割引料","1","1","21","15","2020-02-07 00:00:00.000000","2020-02-07 00:00:00.000000"
"21","地代家賃","1","1","22","16","2020-02-07 00:00:00.000000","2020-02-07 00:00:00.000000"
"22","貸倒金","1","1","23","17","2020-02-07 00:00:00.000000","2020-02-07 00:00:00.000000"
"23","減価償却費","1","1","17","11","2020-02-07 00:00:00.000000","2020-02-07 00:00:00.000000"
"24","福利厚生費","1","1","18","12","2020-02-07 00:00:00.000000","2020-02-07 00:00:00.000000"
"25","給料賃金","1","1","19","13","2020-02-07 00:00:00.000000","2020-02-07 00:00:00.000000"
